year,name,rate
2012,钾盐储量(万吨),57774.8
2012,盐矿储量(亿吨),2070.3
2012,芒硝储量(亿吨),92.8
2012,重晶石储量(万吨),3585.6
2012,玻璃硅质原料储量(万吨),198929.9
2012,石墨储量(万吨),4879.4
2012,滑石储量(万吨),9211.7
2012,高岭土储量(万吨),38143.5
2013,石油储量(万吨),336732.8
2013,天然气储量(亿立方米),46428.8
2013,煤炭储量(亿吨),2362.9
2013,铁矿储量(亿吨),199.2
2013,锰矿储量(万吨),21547.7
2013,铬矿储量(万吨),401.5
2013,钒矿储量(万吨),909.9
2013,原生钛铁矿储量(万吨),21957
2013,铜矿储量(万吨),2751.5
2013,铅矿储量(万吨),1577.9
2013,锌矿储量(万吨),3766.2
2013,铝土矿储量(万吨),98323.5
2013,镍矿储量(万吨),253.5
2013,钨矿储量(万吨),234.9
2013,锡矿储量(万吨),116.5
2013,钼矿储量(万吨),806.7
2013,锑矿储量(万吨),46
2013,金矿储量(吨),1865.5
2013,银矿储量(吨),37496
2013,稀土矿储量(万吨),0
2013,菱镁矿储量(万吨),120747.5
2013,普通萤石储量(万吨),3680.3
2013,硫铁矿储量(万吨),130194.1
2013,磷矿储量(亿吨),30.2
2013,钾盐储量(万吨),53491.6
2013,盐矿储量(亿吨),830.2
2013,芒硝储量(亿吨),52.1
2013,重晶石储量(万吨),3986.1
2013,玻璃硅质原料储量(万吨),191594.1
2013,石墨储量(万吨),5347.7
2013,滑石储量(万吨),9273.9
2013,高岭土储量(万吨),49649.7
2014,石油储量(万吨),343335
2014,天然气储量(亿立方米),49451.8
2014,煤炭储量(亿吨),2399.9
2014,铁矿储量(亿吨),206.6
2014,锰矿储量(万吨),21415.4
2014,铬矿储量(万吨),419.8
2014,钒矿储量(万吨),900.2
2014,原生钛铁矿储量(万吨),21611.2
2014,铜矿储量(万吨),2836.4
2014,铅矿储量(万吨),1720.8
2014,锌矿储量(万吨),4034.1
2014,铝土矿储量(万吨),98321.9
2014,镍矿储量(万吨),253
2014,钨矿储量(万吨),233.3
2014,锡矿储量(万吨),110.6
2014,钼矿储量(万吨),836.6
2014,锑矿储量(万吨),53.2
2014,金矿储量(吨),2016.7
2014,银矿储量(吨),38504
2014,稀土矿储量(万吨),0
2014,菱镁矿储量(万吨),108367
2014,普通萤石储量(万吨),3975.8
2014,硫铁矿储量(万吨),133859.9
2014,磷矿储量(亿吨),30.7
2014,钾盐储量(万吨),59475.9
2014,盐矿储量(亿吨),831.7
2014,芒硝储量(亿吨),55.1
2014,重晶石储量(万吨),3029.1
2014,玻璃硅质原料储量(万吨),190392.1
2014,石墨储量(万吨),4129
2014,滑石储量(万吨),8395.4
2014,高岭土储量(万吨),57521.2
2015,石油储量(万吨),349610.7
2015,天然气储量(亿立方米),51939.5
2015,煤炭储量(亿吨),2440.1
2015,铁矿储量(亿吨),207.6
2015,锰矿储量(万吨),27626.2
2015,铬矿储量(万吨),419.8
2015,钒矿储量(万吨),887.3
2015,原生钛铁矿储量(万吨),21434
2015,铜矿储量(万吨),2721.8
2015,铅矿储量(万吨),1738.8
2015,锌矿储量(万吨),4102.7
2015,铝土矿储量(万吨),99758.2
2015,镍矿储量(万吨),287.3
2015,钨矿储量(万吨),233.1
2015,锡矿储量(万吨),109.2
2015,钼矿储量(万吨),832.5
2015,锑矿储量(万吨),47.9
2015,金矿储量(吨),1986.7
2015,银矿储量(吨),39387
2015,稀土矿储量(万吨),0
2015,菱镁矿储量(万吨),103923.6
2015,普通萤石储量(万吨),4081.7
2015,硫铁矿储量(万吨),131101.3
2015,磷矿储量(亿吨),33.1
2015,钾盐储量(万吨),57582.3
2015,盐矿储量(亿吨),827.9
2015,芒硝储量(亿吨),55
2015,重晶石储量(万吨),3703.1
2015,玻璃硅质原料储量(万吨),198956.7
2015,石墨储量(万吨),5516.4
2015,滑石储量(万吨),8121.7
2015,高岭土储量(万吨),57402.8
2016,石油储量(万吨),350120.3
2016,天然气储量(亿立方米),54365.5
2016,煤炭储量(亿吨),2492.3
2016,铁矿储量(亿吨),201.2
2016,锰矿储量(万吨),31033.6
2016,铬矿储量(万吨),407.2
2016,钒矿储量(万吨),951.8
2016,原生钛铁矿储量(万吨),23065.1
2016,铜矿储量(万吨),2621
2016,铅矿储量(万吨),1808.6
2016,锌矿储量(万吨),4439.1
2016,铝土矿储量(万吨),100955.3
2016,镍矿储量(万吨),277.4
2016,钨矿储量(万吨),243.2
2016,锡矿储量(万吨),116.4
2016,钼矿储量(万吨),830.9
2016,锑矿储量(万吨),52.1
2016,金矿储量(吨),2021.5
2016,银矿储量(吨),40611.1
2016,稀土矿储量(万吨),0
2016,菱镁矿储量(万吨),100772.5
2016,普通萤石储量(万吨),4229.2
2016,硫铁矿储量(万吨),127809
2016,磷矿储量(亿吨),32.4
2016,钾盐储量(万吨),56212
2016,盐矿储量(亿吨),842.5
2016,芒硝储量(亿吨),54.9
2016,重晶石储量(万吨),3626.2
2016,玻璃硅质原料储量(万吨),196374.7
2016,石墨储量(万吨),7321.5
2016,滑石储量(万吨),8204.6
2016,高岭土储量(万吨),69285.1
